Day,Amount Spent (USD),Result Type,Results,Reporting Starts,Reporting Ends
11/3/17,37.52199155,Website Registrations Completed,5,11/3/17,11/3/17
11/2/17,5.45,Website Registrations Completed,1,11/2/17,11/2/17
11/2/17,73.69,Website Registrations Completed,14,11/2/17,11/2/17
11/1/17,0.51,,,11/1/17,11/1/17
11/1/17,5.6,Website Registrations Completed,1,11/1/17,11/1/17
11/1/17,83.54,Website Registrations Completed,7,11/1/17,11/1/17
10/31/17,102.6706959,Website Registrations Completed,14,10/31/17,10/31/17
10/31/17,7.679304096,Website Registrations Completed,1,10/31/17,10/31/17
10/30/17,3.89,,,10/30/17,10/30/17
10/30/17,10.37,,,10/30/17,10/30/17
10/30/17,1.22,,,10/30/17,10/30/17
10/29/17,7.54,,,10/29/17,10/29/17
10/29/17,10.51,,,10/29/17,10/29/17
10/29/17,2.95,,,10/29/17,10/29/17
10/28/17,8.16,,,10/28/17,10/28/17
10/28/17,12.23,Website Registrations Completed,1,10/28/17,10/28/17
10/28/17,4.27,,,10/28/17,10/28/17
10/27/17,3.93,Website Registrations Completed,1,10/27/17,10/27/17
10/27/17,7.7,Website Registrations Completed,2,10/27/17,10/27/17
10/27/17,13.35,Website Registrations Completed,2,10/27/17,10/27/17
10/26/17,6.86,Website Registrations Completed,1,10/26/17,10/26/17
10/26/17,11.47,,,10/26/17,10/26/17
10/25/17,6.23,,,10/25/17,10/25/17
10/25/17,10.6,,,10/25/17,10/25/17
10/24/17,7.47,,,10/24/17,10/24/17
10/24/17,4.2,Website Registrations Completed,1,10/24/17,10/24/17
10/23/17,6.74,,,10/23/17,10/23/17
10/23/17,4.45,,,10/23/17,10/23/17
10/22/17,7.88,,,10/22/17,10/22/17
10/22/17,5.59,,,10/22/17,10/22/17
10/21/17,14.7,,,10/21/17,10/21/17
10/21/17,9.55,,,10/21/17,10/21/17
10/20/17,13,,,10/20/17,10/20/17
10/20/17,0.44,,,10/20/17,10/20/17
10/20/17,28.08,Website Registrations Completed,1,10/20/17,10/20/17
10/19/17,1.47,,,10/19/17,10/19/17
10/19/17,1.24,,,10/19/17,10/19/17
10/19/17,14.85,,,10/19/17,10/19/17
10/18/17,1.66,,,10/18/17,10/18/17
10/18/17,11.53,Website Registrations Completed,1,10/18/17,10/18/17
10/18/17,1.34,,,10/18/17,10/18/17
10/17/17,1.38,,,10/17/17,10/17/17
10/17/17,11.32,,,10/17/17,10/17/17
10/17/17,1.97,,,10/17/17,10/17/17
10/16/17,6.27,,,10/16/17,10/16/17
10/16/17,2.3,,,10/16/17,10/16/17
10/16/17,32.21,Website Registrations Completed,1,10/16/17,10/16/17
10/15/17,80.66439458,Website Registrations Completed,2,10/15/17,10/15/17
10/15/17,16.43682012,,,10/15/17,10/15/17
10/15/17,6.2787853,,,10/15/17,10/15/17
10/14/17,3.46,,,10/14/17,10/14/17
